pokemon_id,pokemon,roles
1,"Bulbasaur","Special Attacker, Support"
2,"Ivysaur","Special Attacker, Support"
3,"Venusaur","Special Attacker, Tank, Setup Sweeper"
4,"Charmander","Physical Attacker, Special Attacker"
5,"Charmeleon","Physical Attacker, Special Attacker"
6,"Charizard","Special Attacker, Wallbreaker"
7,"Squirtle","Tank, Support"
8,"Wartortle","Tank, Support"
9,"Blastoise","Tank, Rapid Spinner, Support"
10,"Caterpie","Setup Fodder"
11,"Metapod","Setup Fodder"
12,"Butterfree","Special Attacker, Support"
13,"Weedle","Setup Fodder"
14,"Kakuna","Setup Fodder"
15,"Beedrill","Physical Attacker, Wallbreaker"
16,"Pidgey","Early-game Pivot"
17,"Pidgeotto","Pivot"
18,"Pidgeot","Pivot, Support"
19,"Rattata","Physical Attacker"
20,"Raticate","Physical Attacker"
21,"Spearow","Physical Attacker"
22,"Fearow","Physical Attacker"
23,"Ekans","Support"
24,"Arbok","Support, Physical Attacker"
25,"Pikachu","Special Attacker, Pivot"
26,"Raichu","Special Attacker, Pivot"
27,"Sandshrew","Physical Attacker"
28,"Sandslash","Physical Attacker, Rapid Spinner"
29,"Nidoran♀","Special Attacker"
30,"Nidorina","Special Attacker"
31,"Nidoqueen","Physical Attacker, Tank"
32,"Nidoran♂","Special Attacker"
33,"Nidorino","Special Attacker"
34,"Nidoking","Physical Attacker, Wallbreaker"
35,"Clefairy","Special Attacker, Support"
36,"Clefable","Special Attacker, Support"
37,"Vulpix","Special Attacker"
38,"Ninetales","Special Attacker"
39,"Jigglypuff","Support"
40,"Wigglytuff","Support"
41,"Zubat","Early-game Pivot"
42,"Golbat","Physical Attacker, Support"
43,"Oddish","Special Attacker"
44,"Gloom","Special Attacker"
45,"Vileplume","Special Attacker, Support"
46,"Paras","Physical Attacker"
47,"Parasect","Physical Attacker"
48,"Venonat","Special Attacker"
49,"Venomoth","Special Attacker"
50,"Diglett","Physical Attacker"
51,"Dugtrio","Physical Attacker"
52,"Meowth","Support"
53,"Persian","Physical Attacker, Setup Sweeper"
54,"Psyduck","Special Attacker"
55,"Golduck","Special Attacker"
56,"Mankey","Physical Attacker"
57,"Primeape","Physical Attacker"
58,"Growlithe","Physical Attacker"
59,"Arcanine","Physical Attacker, Tank"
60,"Poliwag","Special Attacker"
61,"Poliwhirl","Special Attacker"
62,"Poliwrath","Physical Attacker, Tank"
63,"Abra","Special Attacker"
64,"Kadabra","Special Attacker"
65,"Alakazam","Special Attacker, Support"
66,"Machop","Physical Attacker"
67,"Machoke","Physical Attacker, Wallbreaker"
68,"Machamp","Physical Attacker, Wallbreaker"
69,"Bellsprout","Special Attacker"
70,"Weepinbell","Special Attacker"
71,"Victreebel","Physical Attacker, Wallbreaker"
72,"Tentacool","Special Attacker, Support"
73,"Tentacruel","Special Attacker, Support, Rapid Spinner"
74,"Geodude","Physical Attacker"
75,"Graveler","Physical Attacker, Tank"
76,"Golem","Physical Attacker, Tank, Physical Wall"
77,"Ponyta","Special Attacker"
78,"Rapidash","Physical Attacker"
79,"Slowpoke","Support"
80,"Slowbro","Support, Setup Sweeper, Physical Wall"
81,"Magnemite","Pivot"
82,"Magneton","Pivot"
83,"Farfetch’d","Physical Attacker"
84,"Doduo","Physical Attacker"
85,"Dodrio","Physical Attacker"
86,"Seel","Support"
87,"Dewgong","Special Attacker"
88,"Grimer","Support"
89,"Muk","Physical Attacker, Wallbreaker"
90,"Shellder","Support"
91,"Cloyster","Support, Rapid Spinner, Physical Wall"
92,"Gastly","Special Attacker"
93,"Haunter","Special Attacker"
94,"Gengar","Special Attacker, Wallbreaker"
95,"Onix","Support, Physical Wall"
96,"Drowzee","Support"
97,"Hypno","Support"
98,"Krabby","Physical Attacker"
99,"Kingler","Physical Attacker, Wallbreaker"
100,"Voltorb","Support"
101,"Electrode","Support"
102,"Exeggcute","Special Attacker, Support"
103,"Exeggutor","Physical Attacker, Support"
104,"Cubone","Support"
105,"Marowak","Physical Attacker"
106,"Hitmonlee","Physical Attacker, Wallbreaker"
107,"Hitmonchan","Physical Attacker, Wallbreaker"
108,"Lickitung","Support"
109,"Koffing","Support"
110,"Weezing","Support"
111,"Rhyhorn","Physical Attacker"
112,"Rhydon","Physical Attacker, Wallbreaker, Physical Wall"
113,"Chansey","Support, Tank"
114,"Tangela","Special Attacker, Support"
115,"Kangaskhan","Physical Attacker, Tank"
116,"Horsea","Special Attacker"
117,"Seadra","Special Attacker"
118,"Goldeen","Physical Attacker"
119,"Seaking","Physical Attacker"
120,"Staryu","Special Attacker, Rapid Spinner"
121,"Starmie","Special Attacker, Support, Rapid Spinner"
122,"Mr. Mime","Special Attacker"
123,"Scyther","Physical Attacker"
124,"Jynx","Special Attacker"
125,"Electabuzz","Special Attacker"
126,"Magmar","Special Attacker"
127,"Pinsir","Physical Attacker, Setup Sweeper"
128,"Tauros","Physical Attacker"
129,"Magikarp","Setup Fodder"
130,"Gyarados","Physical Attacker, Wallbreaker, Setup Sweeper"
131,"Lapras","Special Attacker, Tank"
132,"Ditto","Support"
133,"Eevee","Support"
134,"Vaporeon","Support"
135,"Jolteon","Special Attacker"
136,"Flareon","Physical Attacker"
137,"Porygon","Support"
138,"Omanyte","Special Attacker"
139,"Omastar","Special Attacker"
140,"Kabuto","Physical Attacker"
141,"Kabutops","Physical Attacker"
142,"Aerodactyl","Physical Attacker"
143,"Snorlax","Tank, Setup Sweeper"
144,"Articuno","Special Attacker"
