Combination,Role_Score,Type_Score,Weakness_Score,Threat_Coverage_Score,Total_Stats_Score,Total_Score,Combination_Names
"150, 151, 121, 143, 149, 89",8.75,7.88,5.98,5.94,8.89,6.491803,"mewtwo, mew, starmie, snorlax, dragonite, muk"
"150, 151, 131, 121, 149, 89",8.75,7.06,5.68,6.53,8.88,6.477052,"mewtwo, mew, lapras, starmie, dragonite, muk"
"150, 151, 144, 113, 103, 89",8.75,7.88,5.84,6.03,8.77,6.437318,"mewtwo, mew, articuno, chansey, exeggutor, muk"
"150, 151, 145, 113, 103, 89",8.75,7.88,5.84,6.03,8.77,6.437318,"mewtwo, mew, zapdos, chansey, exeggutor, muk"
"150, 151, 144, 113, 89, 76",8.75,9.12,5.63,6.03,8.62,6.380637,"mewtwo, mew, articuno, chansey, muk, golem"
"150, 151, 145, 113, 89, 76",8.75,9.12,5.63,6.03,8.62,6.380637,"mewtwo, mew, zapdos, chansey, muk, golem"
"150, 151, 6, 121, 143, 89",8.75,7.88,5.78,5.94,8.57,6.362702,"mewtwo, mew, charizard, starmie, snorlax, muk"
"150, 151, 113, 149, 89, 80",8.75,7.88,5.98,5.53,8.71,6.350923,"mewtwo, mew, chansey, dragonite, muk, slowbro"
"150, 151, 144, 113, 89, 80",8.75,7.88,6.02,5.44,8.62,6.3379,"mewtwo, mew, articuno, chansey, muk, slowbro"
"150, 151, 145, 113, 89, 80",8.75,7.88,6.02,5.44,8.62,6.3379,"mewtwo, mew, zapdos, chansey, muk, slowbro"
"150, 151, 131, 113, 149, 89",8.75,9.12,5.79,5.53,8.88,6.336785,"mewtwo, mew, lapras, chansey, dragonite, muk"
"150, 151, 113, 149, 89, 91",8.75,9.12,5.79,5.53,8.86,6.335434,"mewtwo, mew, chansey, dragonite, muk, cloyster"
"150, 151, 144, 121, 143, 89",8.75,7.88,6.02,5.35,8.79,6.32878,"mewtwo, mew, articuno, starmie, snorlax, muk"
"150, 151, 145, 121, 143, 89",8.75,7.88,6.02,5.35,8.79,6.32878,"mewtwo, mew, zapdos, starmie, snorlax, muk"
"150, 151, 145, 131, 113, 89",8.75,9.12,5.84,5.44,8.78,6.324249,"mewtwo, mew, zapdos, lapras, chansey, muk"
"150, 151, 145, 113, 89, 91",8.75,9.12,5.84,5.44,8.77,6.322897,"mewtwo, mew, zapdos, chansey, muk, cloyster"
"150, 151, 145, 131, 121, 89",8.75,7.06,5.73,5.94,8.78,6.314805,"mewtwo, mew, zapdos, lapras, starmie, muk"
"150, 151, 146, 113, 103, 89",8.75,7.88,5.59,6.03,8.77,6.314324,"mewtwo, mew, moltres, chansey, exeggutor, muk"
"150, 151, 6, 113, 103, 89",8.75,7.88,5.59,6.03,8.55,6.292242,"mewtwo, mew, charizard, chansey, exeggutor, muk"
"150, 151, 113, 103, 149, 89",8.75,7.88,5.79,5.53,8.87,6.273384,"mewtwo, mew, chansey, exeggutor, dragonite, muk"
"150, 151, 131, 149, 89, 68",8.75,9.12,5.66,5.53,8.88,6.270626,"mewtwo, mew, lapras, dragonite, muk, machamp"
"150, 144, 121, 143, 149, 89",8.75,8.72,5.12,6.53,8.79,6.270346,"mewtwo, articuno, starmie, snorlax, dragonite, muk"
"150, 145, 121, 143, 149, 89",8.75,8.72,5.12,6.53,8.79,6.270346,"mewtwo, zapdos, starmie, snorlax, dragonite, muk"
"150, 151, 144, 103, 59, 89",8.75,7.88,5.53,5.94,8.9,6.266796,"mewtwo, mew, articuno, exeggutor, arcanine, muk"
"150, 151, 145, 103, 59, 89",8.75,7.88,5.53,5.94,8.9,6.266796,"mewtwo, mew, zapdos, exeggutor, arcanine, muk"
"150, 151, 145, 131, 89, 68",8.75,9.12,5.71,5.44,8.78,6.258429,"mewtwo, mew, zapdos, lapras, muk, machamp"
"150, 151, 143, 59, 149, 89",8.75,8.36,5.74,5.44,8.99,6.255402,"mewtwo, mew, snorlax, arcanine, dragonite, muk"
"150, 151, 146, 113, 89, 76",8.75,9.12,5.38,6.03,8.62,6.254862,"mewtwo, mew, moltres, chansey, muk, golem"
"151, 121, 143, 59, 149, 89",8.75,9.75,5.64,5.44,8.67,6.245146,"mew, starmie, snorlax, arcanine, dragonite, muk"
"150, 151, 144, 143, 59, 89",8.75,8.36,5.78,5.35,8.9,6.243011,"mewtwo, mew, articuno, snorlax, arcanine, muk"
"150, 151, 145, 143, 59, 89",8.75,8.36,5.78,5.35,8.9,6.243011,"mewtwo, mew, zapdos, snorlax, arcanine, muk"
"151, 144, 121, 143, 59, 89",8.75,9.75,5.69,5.35,8.67,6.242462,"mew, articuno, starmie, snorlax, arcanine, muk"
"151, 145, 121, 143, 59, 89",8.75,9.75,5.69,5.35,8.67,6.242462,"mew, zapdos, starmie, snorlax, arcanine, muk"
"150, 151, 6, 134, 143, 89",8.75,8.36,5.78,5.44,8.57,6.236809,"mewtwo, mew, charizard, vaporeon, snorlax, muk"
"150, 151, 6, 9, 143, 89",8.75,8.36,5.78,5.44,8.57,6.236809,"mewtwo, mew, charizard, blastoise, snorlax, muk"
"150, 151, 6, 113, 89, 76",8.75,9.12,5.38,6.03,8.4,6.23278,"mewtwo, mew, charizard, chansey, muk, golem"
"151, 113, 103, 121, 149, 89",8.75,8.72,5.7,5.53,8.49,6.230731,"mew, chansey, exeggutor, starmie, dragonite, muk"
"151, 144, 113, 103, 121, 89",8.75,8.72,5.75,5.44,8.49,6.227901,"mew, articuno, chansey, exeggutor, starmie, muk"
"151, 145, 113, 103, 121, 89",8.75,8.72,5.75,5.44,8.49,6.227901,"mew, zapdos, chansey, exeggutor, starmie, muk"
"150, 151, 144, 59, 89, 76",8.75,9.12,5.31,5.94,8.9,6.221908,"mewtwo, mew, articuno, arcanine, muk, golem"
"150, 151, 145, 59, 89, 76",8.75,9.12,5.31,5.94,8.9,6.221908,"mewtwo, mew, zapdos, arcanine, muk, golem"
"151, 6, 121, 143, 89, 68",8.75,9.75,5.62,5.44,8.51,6.219599,"mew, charizard, starmie, snorlax, muk, machamp"
"150, 144, 121, 143, 89, 68",8.75,9.75,5.87,5.03,8.51,6.218685,"mewtwo, articuno, starmie, snorlax, muk, machamp"
"150, 145, 121, 143, 89, 68",8.75,9.75,5.87,5.03,8.51,6.218685,"mewtwo, zapdos, starmie, snorlax, muk, machamp"
"150, 151, 146, 113, 89, 80",8.75,7.88,5.78,5.44,8.62,6.217434,"mewtwo, mew, moltres, chansey, muk, slowbro"
"150, 151, 113, 149, 89, 76",8.75,9.12,5.58,5.53,8.71,6.216169,"mewtwo, mew, chansey, dragonite, muk, golem"
"150, 151, 134, 143, 149, 89",8.75,8.36,5.98,4.94,8.89,6.21591,"mewtwo, mew, vaporeon, snorlax, dragonite, muk"
"150, 151, 9, 143, 149, 89",8.75,8.36,5.98,4.94,8.89,6.21591,"mewtwo, mew, blastoise, snorlax, dragonite, muk"
"150, 151, 6, 143, 89, 80",8.75,7.88,5.78,5.44,8.57,6.212702,"mewtwo, mew, charizard, snorlax, muk, slowbro"
